img,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,id
k.jpg,169.43139,93.82705,90.18724,173.67575,160.54668,112.98304,115.38196,63.85406,60.96581,86.35681,100.97093,82.19816,78.4965,91.92775,81.80804,1
ll.webp,161.38335,90.53568,101.80456,159.73423,165.85733,126.92871,100.62169,62.045,73.21627,85.36456,106.118,90.14831,76.35431,88.14442,76.83193,1
mm.jpg,163.94927,101.42378,97.98473,151.14481,145.30507,123.19004,100.47844,86.41354,77.74909,86.89238,98.44601,83.10232,79.22946,98.13979,70.033,1
nn.jpg,144.18276,90.49447,105.21013,139.63437,152.13567,125.50301,75.97278,74.84168,81.83526,96.76725,95.28637,86.97791,76.71897,105.98428,102.94679,1
The-cow-pose.jpg,170.44311,89.97239,97.93097,156.30209,168.34121,123.3822,101.92436,61.44979,67.20001,78.85234,106.70441,82.0598,85.68432,102.07524,89.57556,1
111.jpg,128.06449,110.27701,80.00222,152.30624,151.5512,121.99946,163.0464,37.41402,7.09063,75.75317,111.33737,151.18811,166.79978,124.65814,115.46151,2
1111.jpg,131.19863,108.95168,83.35528,161.46846,145.75252,123.71207,169.84623,31.99017,6.60269,77.02565,104.91296,164.55829,175.85908,101.21311,116.14345,2
11123.jpg,125.65443,107.69724,84.11432,160.62283,147.99183,114.55114,159.45308,39.72105,13.92031,81.69784,91.71831,149.45576,138.71804,109.9778,100.32533,2
112.jpg,135.24925,110.35335,88.0383,140.48041,130.32941,110.86713,164.98384,43.37352,6.51166,72.91122,106.30035,165.21949,163.01809,110.32886,111.91025,2
122.jpg,120.74195,119.04317,99.43617,138.47542,120.16653,123.70117,162.82237,54.49641,9.21569,83.61657,82.95529,168.10196,160.801,99.78223,95.52271,2
1223.png,117.87776,110.7738,83.53052,133.41482,132.20884,117.19624,140.0637,41.98452,16.56255,89.47476,72.56013,173.0355,164.02131,85.79368,89.63653,2
1293.jpg,124.96496,118.42372,87.9112,166.55332,132.50751,132.25274,171.46875,47.45424,5.85037,105.64535,123.18175,159.7853,174.97976,102.93462,116.24254,2
145.jpg,122.30648,111.06851,79.89653,148.62039,140.8067,118.90307,168.82859,38.39864,6.8976,87.10827,91.84348,158.81108,166.71118,102.35775,96.04003,2
25-0.png,117.42049,108.49852,86.98063,154.5519,138.58824,143.42295,142.81409,35.66829,14.67889,87.02007,79.66144,173.62047,171.27915,103.19356,102.99878,2
26.jpg,126.88044,115.09132,81.24593,160.5735,147.2442,138.76722,167.7978,44.17133,14.58087,79.93713,103.40544,155.00998,163.28456,138.02896,127.52516,2
27.jpg,126.38705,114.21444,84.54931,148.0805,135.33968,141.41229,173.09773,38.52554,12.52662,78.84245,98.46976,154.88349,175.08866,115.19556,106.56876,2
28-0.png,115.40915,102.08678,83.46828,148.92741,143.62141,105.48987,166.64412,31.68666,1.22274,71.731,90.44929,154.4894,161.37702,139.01772,94.0087,2
28.jpg,114.91869,113.63819,83.61298,153.47171,146.62002,122.50631,156.53577,36.24469,9.42475,89.16624,73.1626,175.64744,163.30423,92.96987,91.3227,2
29-0.png,107.92613,115.22224,87.47939,167.2664,136.36984,119.73679,164.77374,38.72259,6.82001,86.74263,83.78975,151.07034,137.51532,138.86815,104.97099,2
29.jpg,128.7061,114.31013,81.05249,153.17089,143.71691,121.8343,166.50757,44.64368,10.84336,85.73103,78.53422,175.3083,153.2515,100.56713,108.79581,2
30.jpg,123.50481,114.85755,83.08345,149.09197,140.0957,135.53758,164.24029,41.49673,11.04764,86.31532,76.86988,179.41754,158.66466,104.5062,103.51061,2
31.jpg,123.72861,114.36888,82.67798,160.23628,143.33234,123.21859,171.07739,42.9967,7.13589,89.31271,86.38199,157.01822,164.84563,101.70213,75.45336,2
32.jpg,121.86141,114.07208,84.79658,171.63313,139.28852,135.995,160.78972,40.01782,8.44851,85.90764,75.74613,173.40204,160.54108,100.3342,102.89944,2
33.jpg,127.76089,112.82223,82.34196,161.34712,145.8098,123.45166,161.93274,37.6017,9.07948,86.92899,88.38737,161.36324,165.63806,115.65277,111.83767,2
332.jpg,133.84063,111.0658,84.86551,149.02196,146.01306,110.74597,149.01716,39.58765,6.07169,66.91419,114.35036,166.10425,166.44557,119.32038,117.00532,2
33311.jpg,125.74288,94.29573,86.51444,128.55359,138.23374,99.04886,172.12392,25.97733,5.18007,78.03675,100.69293,148.2359,151.41952,132.48402,114.28222,2
34.jpg,131.19863,108.95168,83.35528,161.46846,145.75252,123.71207,169.84623,31.99017,6.60269,77.02565,104.91296,164.55829,175.85908,101.21311,116.14345,2
35-0.png,116.55177,114.19445,81.97175,154.6063,145.2686,117.13036,166.18465,43.19671,14.97655,81.33214,89.75203,158.17687,159.04945,85.09958,88.58141,2
35.jpg,117.87776,110.7738,83.53052,133.41482,132.20884,117.19624,140.0637,41.98452,16.56255,89.47476,72.56013,173.0355,164.02131,85.79368,89.63653,2
36.jpg,135.19729,107.72471,88.3264,147.92187,146.26223,125.32099,166.23109,37.74317,9.46551,60.11245,117.82568,161.25151,163.9246,114.39529,108.07962,2
37.jpg,125.54257,111.41189,83.27555,161.84871,145.27972,122.21993,177.77223,42.56818,16.43031,80.34325,90.87075,161.74095,156.40232,119.00838,112.39916,2
38.jpg,125.532,115.1848,79.72439,150.55294,143.85979,134.45582,163.55093,40.39296,13.69796,83.62592,95.97309,158.85673,165.47131,110.31843,103.73766,2
39.jpg,107.19838,87.45841,101.8963,144.99639,146.78911,164.06315,105.14926,12.64142,41.79521,147.18753,89.61828,69.77781,64.15997,105.4631,39.3076,2
42.jpg,115.19016,112.17752,88.25577,148.84797,141.32434,111.97152,153.5294,40.37778,6.93812,85.89566,88.36932,172.25336,164.90356,107.70881,105.68858,2
43-0.png,120.65891,110.66437,89.07792,162.59374,138.56375,135.29605,173.91446,31.32381,14.78886,83.30627,80.92915,174.29875,170.22118,88.27442,91.359,2
43.jpg,135.68186,112.48535,82.40505,161.73745,145.58365,128.41204,158.43273,41.92234,5.10218,70.5483,115.63898,163.65752,170.32779,110.27725,106.95338,2
44-0.png,109.65081,107.47165,80.80607,147.78849,137.85728,100.45732,168.20773,37.51395,17.43841,86.20663,77.82271,167.99214,168.16421,98.36052,86.99827,2
44.jpg,121.6232,107.96326,83.85003,133.5447,136.63362,101.79097,161.6497,39.88861,4.88674,79.28825,90.91112,168.56024,162.7296,120.9664,113.46526,2
4443.jpg,126.88398,113.23458,80.7147,157.77172,141.86833,112.94145,153.26482,44.57069,5.34714,88.27003,89.08749,147.74823,169.6414,105.9328,74.55308,2
45.jpg,131.15579,113.47365,75.9783,145.00111,144.46229,124.14617,163.8619,40.29349,6.15025,81.43261,104.86009,163.90141,177.22778,114.92089,101.86633,2
47.jpg,131.19863,108.95168,83.35528,161.46846,145.75252,123.71207,169.84623,31.99017,6.60269,77.02565,104.91296,164.55829,175.85908,101.21311,116.14345,2
48-0.png,120.52079,95.49117,81.48553,137.44033,143.86562,85.18795,156.54783,35.45533,7.89395,74.70572,112.63648,118.31708,123.0164,134.03428,102.11699,2
48.jpg,118.95404,115.62115,87.27857,168.36613,133.27211,134.65899,165.47712,39.28042,7.72488,86.02845,66.70622,175.19939,155.90126,98.92479,102.4072,2
49.jpg,97.68538,111.31043,85.96656,150.90935,132.87529,135.19358,167.27641,29.83501,12.29967,89.60673,72.78559,172.49314,166.69446,85.73763,83.30287,2
49.png,122.07733,109.21085,88.1453,131.03558,127.59254,92.38937,159.78318,46.27942,5.92772,81.76708,91.17852,159.95538,157.00932,98.79006,94.67252,2
50.jpg,128.48125,117.29078,82.76883,155.20255,135.62584,115.51229,170.59092,46.86663,9.79429,89.36848,89.61236,148.79509,158.41989,112.04216,106.3653,2
51.jpg,97.27837,113.75473,90.33542,152.67798,146.72918,139.95443,167.76208,41.28873,14.06943,74.51445,93.82785,138.62105,145.62312,111.07588,97.25763,2
52.jpg,130.44512,111.54572,75.58142,146.87097,149.08735,117.36251,131.4325,40.36137,10.43972,85.48499,89.21648,165.71091,169.85134,107.04574,100.06963,2
53.jpg,129.39753,113.64822,84.90586,142.68729,136.81016,102.32685,151.64895,44.14698,8.27758,80.6402,93.39702,166.78249,157.72368,104.01209,105.34442,2
54.jpg,123.58768,110.75812,79.57903,151.92336,143.79383,115.54079,168.85333,39.99838,7.28599,76.87733,106.18978,160.36348,168.04915,112.45254,111.35107,2
55.jpg,125.49536,122.92512,113.91099,135.24764,98.62142,152.76846,147.55758,77.18975,35.80119,106.15018,51.50431,172.57783,148.06657,80.07185,83.54857,2
56.jpg,122.90857,85.43516,107.76025,141.13855,137.6396,156.96872,118.19993,4.93564,38.71253,119.73425,82.88704,143.45783,109.28505,113.46856,94.65832,2
57.jpg,123.2798,109.50199,88.90194,146.41782,135.95228,124.33701,168.13169,48.0212,10.48986,83.43859,101.7192,154.10959,175.33561,118.74232,110.12603,2
58.jpg,120.67468,113.20057,97.28455,135.26659,119.81629,112.77924,165.90397,53.13936,8.73336,89.69301,83.25368,156.82731,156.65916,102.39031,98.83197,2
59-0.png,116.22372,105.52973,78.49766,146.98891,150.26371,83.45901,162.28095,46.60124,23.09294,86.60709,130.76907,79.6727,94.22651,53.29999,109.49483,2
59.jpg,120.60385,112.83748,94.53073,128.8394,130.81706,111.00093,159.22523,54.07348,8.54177,41.46758,142.43467,125.96628,104.99218,79.23519,124.33733,2
60.jpg,117.87776,110.7738,83.53052,133.41482,132.20884,117.19624,140.0637,41.98452,16.56255,89.47476,72.56013,173.0355,164.02131,85.79368,89.63653,2
61.jpg,135.3792,106.37411,87.53811,148.6123,148.9008,128.60995,168.78397,36.10262,9.29677,63.99898,115.37052,157.63847,164.6014,112.22563,106.70184,2
62-0.png,132.14115,103.4981,81.91372,135.84945,139.4531,92.88276,166.83776,43.05923,7.6812,69.47281,148.19999,107.81017,133.6055,75.02646,109.64235,2
62.jpg,122.72652,113.38891,89.88228,150.76032,137.84798,122.17997,173.71206,54.97032,16.03012,88.45881,85.80035,168.74389,156.85296,105.1544,111.8579,2
63.jpg,117.99006,100.02467,95.99223,131.29046,127.29807,94.39004,158.97605,36.6808,19.76357,88.82406,77.47978,164.02088,157.8698,104.25841,100.69548,2
64.jpg,119.07366,116.49489,86.01844,169.25384,132.75808,134.37508,167.07057,39.11843,8.12514,89.76217,58.70312,169.17644,153.93843,90.20537,92.69807,2
65.jpg,110.57873,122.14826,108.13825,158.00589,121.9574,128.58336,156.49214,60.74784,21.22554,98.19923,61.17639,175.78004,148.48716,76.24392,87.55739,2
66.jpg,123.5712,112.04687,85.42506,154.69012,138.73531,133.29457,167.02023,41.29712,13.81868,87.59578,79.75109,163.71703,152.26577,97.53916,108.78787,2
67.jpg,129.42249,113.48388,89.10437,163.62071,140.01592,141.30675,171.78273,42.63786,8.59903,75.84142,100.12299,163.95796,153.13199,110.92971,112.8389,2
68.jpg,120.20263,93.85177,95.28054,116.15714,120.92831,123.75419,174.29594,24.00299,14.97053,73.53401,112.65008,131.98077,154.34519,83.62391,110.64986,2
69.jpg,116.10576,105.56799,83.99783,128.15826,128.80484,90.49319,149.77216,42.118,7.20823,83.45702,81.67113,168.47069,161.69616,92.67876,94.0721,2
70.jpg,128.26711,114.99542,87.23208,150.64613,128.94704,122.23954,171.92258,47.25259,5.65569,93.98446,100.77351,163.02154,164.92606,105.98748,109.35122,2
71-0.png,108.93603,102.08859,82.1739,140.18113,143.97439,103.88232,159.43817,45.21965,19.76601,87.00864,138.63243,77.97844,78.09588,39.29674,130.81891,2
777.jpg,114.91869,113.63819,83.61298,153.47171,146.62002,122.50631,156.53577,36.24469,9.42475,89.16624,73.1626,175.64744,163.30423,92.96987,91.3227,2
888.jpg,118.9932,117.22489,87.59962,167.69494,132.90068,132.78667,166.08765,41.76736,8.45232,89.47747,73.39113,177.29741,156.22818,96.95509,103.22323,2
88888.jpg,123.10869,110.74953,80.95875,154.74091,145.10066,114.10598,161.97242,40.77051,11.28259,83.1992,96.98999,162.60676,167.21436,103.04576,103.86275,2
a.jpg,131.86515,110.55616,80.85815,157.37596,154.69478,130.61941,155.12078,33.57034,6.30324,73.51403,105.67722,169.13819,176.37132,108.82685,100.23058,2
b.jpg,136.63481,104.70175,83.06189,162.7253,154.98556,137.05063,171.78127,27.6532,4.46588,77.75185,116.0033,156.83181,173.67019,128.26321,118.59023,2
gg.png,136.97007,107.73525,86.33269,155.91917,155.53166,142.61493,166.46302,34.64243,10.61899,59.82004,119.28273,167.41907,167.1729,120.78673,117.43279,2
k.png,119.9929,111.28939,84.82818,143.92013,140.08931,108.76957,155.00246,50.5983,12.33232,88.38363,86.55788,159.42938,164.43291,105.81877,102.3152,2
kk.webp,108.69274,102.36732,93.06198,146.407,134.49778,96.43001,150.93422,29.66085,24.03021,93.76108,69.44328,166.60496,156.47948,105.45565,106.33315,2
yoga_staff.jpg,132.82645,112.48236,79.0559,159.4671,149.50698,133.21136,167.93233,42.61424,12.18725,80.06594,92.7221,169.98549,165.3095,102.10287,101.24324,2
00000000.jpg,82.09966,122.58895,143.86582,85.08728,125.37542,166.03501,130.3292,142.39567,140.25037,98.10758,78.69141,161.13714,177.29831,83.91562,82.31764,3
00000001.JPG,97.85403,111.78434,147.35498,96.6306,126.67994,162.86602,131.00723,157.4569,138.58453,95.32824,83.14264,162.76421,173.29356,78.00635,75.00018,3
00000003.jpg,87.75488,123.00518,147.33856,86.93491,126.23351,163.87303,126.52333,146.31913,134.75071,96.82544,79.27128,157.85496,177.03177,78.941,80.12802,3
00000055.jpg,91.67246,128.49617,146.68277,77.12873,123.29566,160.17569,144.51589,137.33333,143.42111,115.32039,72.22639,160.48502,163.19107,78.80694,86.64562,3
00000056.JPG,69.41,123.7255,137.45347,91.92575,122.12453,154.83725,131.37584,138.57481,143.05179,108.44942,73.52764,171.18525,173.04548,81.59128,101.59847,3
00000057.jpg,85.6605,120.46692,142.654,93.11961,118.42035,164.06369,127.28145,145.77236,136.94843,98.27043,76.22717,164.48973,176.9021,83.72825,84.4739,3
00000059.jpg,89.1959,117.10777,146.25434,96.63176,128.28623,159.40293,127.2778,152.936,141.27695,93.49972,87.77316,168.26653,174.13,79.20387,78.93424,3
00000060.jpg,95.69446,115.51427,149.50555,94.97107,123.53695,169.51074,131.81386,151.22702,137.67264,96.92777,85.77816,165.92813,175.61085,74.90936,77.94609,3
00000074.jpg,102.41897,112.31783,141.26894,98.55221,125.87998,159.51382,118.96506,157.66426,143.06322,98.3942,81.93611,167.56699,175.6063,80.60192,75.82856,3
00000088.JPG,69.41,123.7255,137.45347,91.92575,122.12453,154.83725,131.37584,138.57481,143.05179,108.44942,73.52764,171.18525,173.04548,81.59128,101.59847,3
00000089.jpg,107.15239,116.61575,149.13558,94.89928,144.54325,166.65456,143.6612,150.17982,145.29327,99.6337,87.11281,173.84862,167.66074,86.21093,87.8895,3
